Season,Daynum,wTeam,lTeam,Slot,Host,lat,lng,Round,Region,Team1,Team2,Team1_Name,Team2_Name
1985,136,1207,1250,R1W1,hartford,41.7627,-72.6743,1,W,1250,1207,Lehigh,Georgetown
1985,136,1260,1233,R1W4,hartford,41.7627,-72.6743,1,W,1260,1233,Loyola-Chicago,Iona
1985,136,1374,1330,R1W5,hartford,41.7627,-72.6743,1,W,1374,1330,SMU,Old Dominion
1985,136,1396,1439,R1W8,hartford,41.7627,-72.6743,1,W,1439,1396,Virginia Tech,Temple
1985,136,1385,1380,R1X1,tulsa,36.1314,-95.9372,1,X,1385,1380,St John's,Southern Univ
1985,136,1424,1361,R1X4,tulsa,36.1314,-95.9372,1,X,1424,1361,UNLV,San Diego St
1985,136,1246,1449,R1X5,tulsa,36.1314,-95.9372,1,X,1449,1246,Washington,Kentucky
1985,136,1116,1234,R1X8,tulsa,36.1314,-95.9372,1,X,1234,1116,Iowa,Arkansas
1985,136,1328,1299,R1Y1,dayton,39.7594,-84.1917,1,Y,1328,1299,Oklahoma,NC A&T
1985,136,1326,1235,R1Y4,dayton,39.7594,-84.1917,1,Y,1326,1235,Ohio St,Iowa St
1985,136,1256,1338,R1Y5,dayton,39.7594,-84.1917,1,Y,1338,1256,Pittsburgh,Louisiana Tech
1985,136,1229,1425,R1Y8,dayton,39.7594,-84.1917,1,Y,1425,1229,USC,Illinois St
1985,136,1314,1292,R1Z2,albuquerque,35.1107,-106.61,1,Z,1314,1292,North Carolina,MTSU
1985,136,1242,1325,R1Z3,albuquerque,35.1107,-106.61,1,Z,1325,1242,Ohio,Kansas
1985,136,1120,1345,R1Z6,albuquerque,35.1107,-106.61,1,Z,1345,1120,Purdue,Auburn
1985,136,1323,1333,R1Z7,albuquerque,35.1107,-106.61,1,Z,1333,1323,Oregon St,Notre Dame
1985,137,1210,1273,R1W2,atlanta,33.755,-84.39,1,W,1273,1210,Mercer,Georgia Tech
1985,137,1228,1318,R1W3,atlanta,33.755,-84.39,1,W,1318,1228,Northeastern,Illinois
1985,137,1208,1455,R1W6,atlanta,33.755,-84.39,1,W,1455,1208,Wichita St,Georgia
1985,137,1393,1177,R1W7,atlanta,33.755,-84.39,1,W,1393,1177,Syracuse,DePaul
1985,137,1433,1267,R1X2,houston,29.7604,-95.3698,1,X,1433,1267,VCU,Marshall
1985,137,1301,1305,R1X3,houston,29.7604,-95.3698,1,X,1305,1301,Nevada,NC State
1985,137,1431,1409,R1X6,houston,29.7604,-95.3698,1,X,1431,1409,UTEP,Tulsa
1985,137,1104,1112,R1X7,houston,29.7604,-95.3698,1,X,1112,1104,Arizona,Alabama
1985,137,1272,1335,R1Y2,south_bend,41.6725,-86.2553,1,Y,1335,1272,Penn,Memphis
1985,137,1181,1337,R1Y3,south_bend,41.6725,-86.2553,1,Y,1337,1181,Pepperdine,Duke
1985,137,1130,1403,R1Y6,south_bend,41.6725,-86.2553,1,Y,1403,1130,Texas Tech,Boston College
1985,137,1412,1277,R1Y7,south_bend,41.6725,-86.2553,1,Y,1412,1277,UAB,Michigan St
1985,137,1276,1192,R1Z1,salt_lake_city,40.75,-111.8833,1,Z,1276,1192,Michigan,F Dickinson
1985,137,1298,1261,R1Z4,salt_lake_city,40.75,-111.8833,1,Z,1298,1261,Navy,LSU
1985,137,1268,1275,R1Z5,salt_lake_city,40.75,-111.8833,1,Z,1275,1268,Miami OH,Maryland
1985,137,1437,1173,R1Z8,salt_lake_city,40.75,-111.8833,1,Z,1437,1173,Villanova,Dayton
1985,138,1207,1396,R2W1,hartford,41.7627,-72.6743,2,W,1396,1207,Temple,Georgetown
1985,138,1260,1374,R2W4,hartford,41.7627,-72.6743,2,W,1374,1260,SMU,Loyola-Chicago
1985,138,1385,1116,R2X1,tulsa,36.1314,-95.9372,2,X,1385,1116,St John's,Arkansas
1985,138,1246,1424,R2X4,tulsa,36.1314,-95.9372,2,X,1424,1246,UNLV,Kentucky
1985,138,1328,1229,R2Y1,dayton,39.7594,-84.1917,2,Y,1328,1229,Oklahoma,Illinois St
1985,138,1256,1326,R2Y4,dayton,39.7594,-84.1917,2,Y,1326,1256,Ohio St,Louisiana Tech
1985,138,1314,1323,R2Z2,albuquerque,35.1107,-106.61,2,Z,1323,1314,Notre Dame,North Carolina
1985,138,1120,1242,R2Z3,albuquerque,35.1107,-106.61,2,Z,1242,1120,Kansas,Auburn
1985,139,1210,1393,R2W2,atlanta,33.755,-84.39,2,W,1393,1210,Syracuse,Georgia Tech
1985,139,1228,1208,R2W3,atlanta,33.755,-84.39,2,W,1228,1208,Illinois,Georgia
1985,139,1104,1433,R2X2,houston,29.7604,-95.3698,2,X,1433,1104,VCU,Alabama
1985,139,1301,1431,R2X3,houston,29.7604,-95.3698,2,X,1431,1301,UTEP,NC State
