"RowId","Tournament","Bracket","Slot","Team"
0,"M",1,"R1W1","W01"
1,"M",1,"R1W8","W09"
2,"M",1,"R1W5","W05"
3,"M",1,"R1W4","W04"
4,"M",1,"R1W6","W11"
5,"M",1,"R1W3","W03"
6,"M",1,"R1W7","W10"
7,"M",1,"R1W2","W02"
8,"M",1,"R1X1","X01"
9,"M",1,"R1X8","X08"
10,"M",1,"R1X5","X05"
11,"M",1,"R1X4","X13"
12,"M",1,"R1X6","X06"
13,"M",1,"R1X3","X03"
14,"M",1,"R1X7","X07"
15,"M",1,"R1X2","X02"
16,"M",1,"R1Y1","Y01"
17,"M",1,"R1Y8","Y09"
18,"M",1,"R1Y5","Y05"
19,"M",1,"R1Y4","Y13"
20,"M",1,"R1Y6","Y11"
21,"M",1,"R1Y3","Y14"
22,"M",1,"R1Y7","Y07"
23,"M",1,"R1Y2","Y02"
24,"M",1,"R1Z1","Z01"
25,"M",1,"R1Z8","Z09"
26,"M",1,"R1Z5","Z12"
27,"M",1,"R1Z4","Z04"
28,"M",1,"R1Z6","Z06"
29,"M",1,"R1Z3","Z03"
30,"M",1,"R1Z7","Z07"
31,"M",1,"R1Z2","Z02"
32,"M",1,"R2W1","W01"
33,"M",1,"R2W4","W05"
34,"M",1,"R2W3","W03"
35,"M",1,"R2W2","W10"
36,"M",1,"R2X1","X01"
37,"M",1,"R2X4","X05"
38,"M",1,"R2X3","X03"
39,"M",1,"R2X2","X07"
40,"M",1,"R2Y1","Y09"
41,"M",1,"R2Y4","Y05"
42,"M",1,"R2Y3","Y11"
43,"M",1,"R2Y2","Y02"
44,"M",1,"R2Z1","Z01"
45,"M",1,"R2Z4","Z04"
46,"M",1,"R2Z3","Z03"
47,"M",1,"R2Z2","Z02"
48,"M",1,"R3W1","W05"
49,"M",1,"R3W2","W10"
50,"M",1,"R3X1","X01"
51,"M",1,"R3X2","X03"
52,"M",1,"R3Y1","Y05"
53,"M",1,"R3Y2","Y02"
54,"M",1,"R3Z1","Z01"
55,"M",1,"R3Z2","Z02"
56,"M",1,"R4W1","W05"
57,"M",1,"R4X1","X01"
58,"M",1,"R4Y1","Y02"
59,"M",1,"R4Z1","Z01"
60,"M",1,"R5WX","X01"
61,"M",1,"R5YZ","Y02"
62,"M",1,"R6CH","Y02"
63,"W",1,"R1W1","W01"
64,"W",1,"R1W8","W09"
65,"W",1,"R1W5","W05"
66,"W",1,"R1W4","W04"
67,"W",1,"R1W6","W11"
68,"W",1,"R1W3","W03"
69,"W",1,"R1W7","W10"
70,"W",1,"R1W2","W02"
71,"W",1,"R1X1","X01"
72,"W",1,"R1X8","X09"
73,"W",1,"R1X5","X05"
74,"W",1,"R1X4","X04"
75,"W",1,"R1X6","X11"
76,"W",1,"R1X3","X03"
77,"W",1,"R1X7","X07"
78,"W",1,"R1X2","X02"
79,"W",1,"R1Y1","Y01"
80,"W",1,"R1Y8","Y08"
81,"W",1,"R1Y5","Y05"
82,"W",1,"R1Y4","Y04"
83,"W",1,"R1Y6","Y11"
84,"W",1,"R1Y3","Y03"
85,"W",1,"R1Y7","Y07"
86,"W",1,"R1Y2","Y02"
87,"W",1,"R1Z1","Z01"
88,"W",1,"R1Z8","Z09"
89,"W",1,"R1Z5","Z12"
90,"W",1,"R1Z4","Z04"
91,"W",1,"R1Z6","Z11"
92,"W",1,"R1Z3","Z03"
93,"W",1,"R1Z7","Z07"
94,"W",1,"R1Z2","Z02"
95,"W",1,"R2W1","W01"
96,"W",1,"R2W4","W04"
97,"W",1,"R2W3","W03"
98,"W",1,"R2W2","W10"
99,"W",1,"R2X1","X01"
100,"W",1,"R2X4","X05"
101,"W",1,"R2X3","X03"
102,"W",1,"R2X2","X02"
103,"W",1,"R2Y1","Y01"
104,"W",1,"R2Y4","Y04"
105,"W",1,"R2Y3","Y03"
106,"W",1,"R2Y2","Y02"
107,"W",1,"R2Z1","Z09"
108,"W",1,"R2Z4","Z04"
109,"W",1,"R2Z3","Z03"
110,"W",1,"R2Z2","Z07"
111,"W",1,"R3W1","W01"
112,"W",1,"R3W2","W03"
113,"W",1,"R3X1","X01"
114,"W",1,"R3X2","X02"
115,"W",1,"R3Y1","Y01"
116,"W",1,"R3Y2","Y03"
117,"W",1,"R3Z1","Z09"
118,"W",1,"R3Z2","Z03"
119,"W",1,"R4W1","W01"
120,"W",1,"R4X1","X02"
121,"W",1,"R4Y1","Y03"
122,"W",1,"R4Z1","Z03"
123,"W",1,"R5WX","W01"
124,"W",1,"R5YZ","Z03"
125,"W",1,"R6CH","W01"
126,"M",2,"R1W1","W01"
127,"M",2,"R1W8","W08"
128,"M",2,"R1W5","W05"
129,"M",2,"R1W4","W04"
130,"M",2,"R1W6","W11"
131,"M",2,"R1W3","W14"
132,"M",2,"R1W7","W10"
133,"M",2,"R1W2","W02"
134,"M",2,"R1X1","X01"
135,"M",2,"R1X8","X08"
136,"M",2,"R1X5","X05"
137,"M",2,"R1X4","X13"
138,"M",2,"R1X6","X11"
139,"M",2,"R1X3","X03"
140,"M",2,"R1X7","X10"
141,"M",2,"R1X2","X02"
142,"M",2,"R1Y1","Y01"
143,"M",2,"R1Y8","Y09"
144,"M",2,"R1Y5","Y05"
145,"M",2,"R1Y4","Y04"
146,"M",2,"R1Y6","Y06"
147,"M",2,"R1Y3","Y03"
148,"M",2,"R1Y7","Y07"
149,"M",2,"R1Y2","Y02"
150,"M",2,"R1Z1","Z01"
151,"M",2,"R1Z8","Z08"
152,"M",2,"R1Z5","Z05"
153,"M",2,"R1Z4","Z04"
154,"M",2,"R1Z6","Z06"
155,"M",2,"R1Z3","Z03"
156,"M",2,"R1Z7","Z07"
157,"M",2,"R1Z2","Z15"
158,"M",2,"R2W1","W01"
159,"M",2,"R2W4","W04"
160,"M",2,"R2W3","W11"
161,"M",2,"R2W2","W02"
162,"M",2,"R2X1","X01"
163,"M",2,"R2X4","X05"
164,"M",2,"R2X3","X11"
165,"M",2,"R2X2","X02"
166,"M",2,"R2Y1","Y01"
167,"M",2,"R2Y4","Y05"
168,"M",2,"R2Y3","Y06"
169,"M",2,"R2Y2","Y02"
170,"M",2,"R2Z1","Z01"
171,"M",2,"R2Z4","Z05"
172,"M",2,"R2Z3","Z06"
173,"M",2,"R2Z2","Z15"
174,"M",2,"R3W1","W01"
175,"M",2,"R3W2","W11"
176,"M",2,"R3X1","X01"
177,"M",2,"R3X2","X02"
178,"M",2,"R3Y1","Y05"
179,"M",2,"R3Y2","Y02"
180,"M",2,"R3Z1","Z05"
181,"M",2,"R3Z2","Z06"
182,"M",2,"R4W1","W11"
183,"M",2,"R4X1","X02"
184,"M",2,"R4Y1","Y02"
185,"M",2,"R4Z1","Z06"
186,"M",2,"R5WX","W11"
187,"M",2,"R5YZ","Z06"
188,"M",2,"R6CH","W11"
189,"W",2,"R1W1","W01"
190,"W",2,"R1W8","W09"
191,"W",2,"R1W5","W05"
192,"W",2,"R1W4","W04"
193,"W",2,"R1W6","W06"
194,"W",2,"R1W3","W03"
195,"W",2,"R1W7","W10"
196,"W",2,"R1W2","W02"
197,"W",2,"R1X1","X16"
198,"W",2,"R1X8","X09"
199,"W",2,"R1X5","X05"
200,"W",2,"R1X4","X04"
201,"W",2,"R1X6","X06"
202,"W",2,"R1X3","X03"
203,"W",2,"R1X7","X07"
204,"W",2,"R1X2","X02"
205,"W",2,"R1Y1","Y01"
206,"W",2,"R1Y8","Y09"
207,"W",2,"R1Y5","Y05"
208,"W",2,"R1Y4","Y04"
209,"W",2,"R1Y6","Y06"
210,"W",2,"R1Y3","Y14"
211,"W",2,"R1Y7","Y07"
212,"W",2,"R1Y2","Y02"
213,"W",2,"R1Z1","Z01"
214,"W",2,"R1Z8","Z08"
215,"W",2,"R1Z5","Z05"
216,"W",2,"R1Z4","Z04"
217,"W",2,"R1Z6","Z06"
218,"W",2,"R1Z3","Z03"
219,"W",2,"R1Z7","Z07"
220,"W",2,"R1Z2","Z02"
221,"W",2,"R2W1","W01"
222,"W",2,"R2W4","W04"
223,"W",2,"R2W3","W06"
224,"W",2,"R2W2","W02"
225,"W",2,"R2X1","X09"
226,"W",2,"R2X4","X05"
227,"W",2,"R2X3","X06"
228,"W",2,"R2X2","X02"
229,"W",2,"R2Y1","Y01"
230,"W",2,"R2Y4","Y05"
231,"W",2,"R2Y3","Y06"
232,"W",2,"R2Y2","Y02"
233,"W",2,"R2Z1","Z08"
234,"W",2,"R2Z4","Z05"
235,"W",2,"R2Z3","Z06"
236,"W",2,"R2Z2","Z07"
237,"W",2,"R3W1","W01"
238,"W",2,"R3W2","W02"
239,"W",2,"R3X1","X05"
240,"W",2,"R3X2","X06"
241,"W",2,"R3Y1","Y01"
242,"W",2,"R3Y2","Y02"
243,"W",2,"R3Z1","Z05"
244,"W",2,"R3Z2","Z07"
245,"W",2,"R4W1","W01"
246,"W",2,"R4X1","X06"
247,"W",2,"R4Y1","Y01"
248,"W",2,"R4Z1","Z07"
249,"W",2,"R5WX","W01"
250,"W",2,"R5YZ","Y01"
251,"W",2,"R6CH","W01"
252,"M",3,"R1W1","W01"
253,"M",3,"R1W8","W08"
254,"M",3,"R1W5","W05"
255,"M",3,"R1W4","W04"
256,"M",3,"R1W6","W06"
257,"M",3,"R1W3","W14"
258,"M",3,"R1W7","W10"
259,"M",3,"R1W2","W02"
260,"M",3,"R1X1","X01"
261,"M",3,"R1X8","X09"
262,"M",3,"R1X5","X05"
263,"M",3,"R1X4","X04"
264,"M",3,"R1X6","X06"
265,"M",3,"R1X3","X03"
266,"M",3,"R1X7","X10"
267,"M",3,"R1X2","X02"
268,"M",3,"R1Y1","Y01"
269,"M",3,"R1Y8","Y09"
270,"M",3,"R1Y5","Y05"
271,"M",3,"R1Y4","Y04"
272,"M",3,"R1Y6","Y06"
273,"M",3,"R1Y3","Y03"
274,"M",3,"R1Y7","Y07"
275,"M",3,"R1Y2","Y02"
276,"M",3,"R1Z1","Z01"
277,"M",3,"R1Z8","Z09"
278,"M",3,"R1Z5","Z12"
279,"M",3,"R1Z4","Z04"
280,"M",3,"R1Z6","Z11"
281,"M",3,"R1Z3","Z14"
282,"M",3,"R1Z7","Z07"
283,"M",3,"R1Z2","Z02"
284,"M",3,"R2W1","W01"
285,"M",3,"R2W4","W04"
286,"M",3,"R2W3","W06"
287,"M",3,"R2W2","W02"
288,"M",3,"R2X1","X01"
289,"M",3,"R2X4","X05"
290,"M",3,"R2X3","X06"
291,"M",3,"R2X2","X02"
