Season,DayZero,RegionW,RegionX,RegionY,RegionZ
1985,10/29/1984 0:00,East,West,Midwest,Southeast
1986,10/28/1985 0:00,East,Midwest,Southeast,West
1987,10/27/1986 0:00,East,Southeast,Midwest,West
1988,11/2/1987 0:00,East,Midwest,Southeast,West
1989,10/31/1988 0:00,East,West,Midwest,Southeast
1990,10/30/1989 0:00,East,Midwest,Southeast,West
1991,10/29/1990 0:00,East,Southeast,Midwest,West
1992,11/4/1991 0:00,East,West,Midwest,Southeast
1993,11/2/1992 0:00,East,Midwest,Southeast,West
1994,11/1/1993 0:00,East,Southeast,Midwest,West
1995,10/31/1994 0:00,East,West,Midwest,Southeast
1996,10/30/1995 0:00,East,Midwest,Southeast,West
1997,10/28/1996 0:00,East,Southeast,Midwest,West
1998,10/27/1997 0:00,East,West,Midwest,South
1999,10/26/1998 0:00,East,Midwest,South,West
2000,11/1/1999 0:00,East,South,Midwest,West
2001,10/30/2000 0:00,East,West,Midwest,South
2002,10/29/2001 0:00,East,Midwest,South,West
2003,11/4/2002 0:00,East,South,Midwest,West
2004,11/3/2003 0:00,Atlanta,Phoenix,EastRutherford,StLouis
2005,11/1/2004 0:00,Albuquerque,Chicago,Austin,Syracuse
2006,10/31/2005 0:00,Atlanta,Oakland,Minneapolis,WashingtonDC
2007,10/30/2006 0:00,East,South,Midwest,West
2008,11/5/2007 0:00,East,Midwest,South,West
2009,11/3/2008 0:00,East,South,Midwest,West
2010,11/2/2009 0:00,East,South,Midwest,West
2011,11/1/2010 0:00,East,West,Southeast,Southwest
2012,10/31/2011 0:00,East,Midwest,South,West
2013,11/5/2012 0:00,East,South,Midwest,West
2014,11/4/2013 0:00,East,South,Midwest,West
2015,11/3/2014 0:00,East,South,Midwest,West
2016,11/2/2015 0:00,East,Midwest,South,West
2017,10/31/2016 0:00,East,West,Midwest,South
2018,10/30/2017 0:00,East,Midwest,South,West
2019,11/5/2018 0:00,East,West,Midwest,South
2020,11/4/2019 0:00,NA1,NA2,NA3,NA4
2021,11/2/2020 0:00,East,West,Midwest,South
2022,11/1/2021 0:00,East,West,Midwest,South
